"ShortName","ACR_Name"
"","ctpzeausmwsprodaks"
"SPEClient","ctpzeausboardingpassprodaks"
"","ctpresagentcr"
"CabinClean","ccacrprodwestus"
"SWAsset","aaflxcstrmnp"
"VulnScan","aacstrmutilsp"
"SPEClient","ctnzeausboardingpassnonprodaks"
"System.Object[]","System.Object[]"
"System.Object[]","System.Object[]"
"ResAgFrwk","ctnresagentcr"
"CabinClean","ccacrsandboxeastus"
"CabinClean","ccacrnonprodwestus"
"FAUnsucBid","FACrewSchedulingRegistryDev"
"FAUnsucBid","FaCrewschedRegistryTest"
"FAUnsucBid","FaCrewschedRegistryTestWest"
"CrwPrfNtfy","pneapi"
"System.Object[]","System.Object[]"
"FltStdAuto","aaaotfsatestcr"
"FltStdAuto","aaaotnonprodfsacr"
"FAPortal","aotdzeausfaportalreg"
"FAPortal","aottzeausfaportalreg"
"CrwPrfNtfy","aottzweuspnereg"
"FAPortal","aottzweusfaportalreg"
"CrewCover","aaaotpltccadeveastuscr"
"PltTripTrd","aapttsstageeastusazureregistry"
"System.Object[]","System.Object[]"
"FAPortal","aotszeausfaportalreg"
"PltTripTrd","aaaottest2eastpttsreg"
"System.Object[]","System.Object[]"
"CrewCover","aaaotpltccatesteastuscr"
"FATrpTrdUI","aotdzeausttsreg"
"FATrpTrdUI","aottzeausttsreg"
"FAUnsucBid","FaCrewschedRegistryStageEast"
"CrewCover","aaaotpltccastageeastuscr"
"FATrpTrdUI","aotszeausttsreg"
"PltTripTrd","aapttsstagewestusazureregistry"
"FAPortal","aotszweusfaportalreg"
"FAUnsucBid","FaCrewschedRegistryStageWest"
"System.Object[]","System.Object[]"
"FATrpTrdUI","aotszweusttsreg"
"CrewComp","batchCRtest2"
"PltTripTrd","aapttseastusazureregistry"
"OpsHubNext","microgateway"
"PltTripTrd","aaaottestwestpttsreg"
"InnerSrc","innersourcecrdev"
"WikiPlat","enterprisewikidev"
"RMInfraPtl","corppzeausrptinfraportalreg"
"NetPlnPrtl","npportalprod"
"YldMgORApp","corpppyldmgorappcr"
"CldGovAuto","badovinacacrdemo"
"CldGovAuto","notScopesACR"
"VulnScan","aacstrmnp"
"VulnScan","aacstrmutilsnp"
"FltStdAuto","aaaotfsaprodcr"
"FAUnsucBid","FaCrewschedRegistryProdEast"
"FAUnsucBid","FaCrewschedRegistryProdWest"
"PltTripTrd","aapttsprodeastusazureregistry"
"FAPortal","aotpzeausfaportalreg"
"CrewCover","aaaotpltccaprodeastuscr"
"PltTripTrd","aapttsprodwestusazureregistry"
"FAPortal","aotpzweusfaportalreg"
"PltDOTCUI","aotpwestuspltdotcuireg"
"PltDOTCUI","aotpeastuspltdotcuireg"
"DevOpsTool","sandboxdevops"
"InFlPorNxt","inflightportal"
"System.Object[]","System.Object[]"
"InboundIVR","orionamlws082"
"MEFedPltfm","1539d06b80a74813802b388a81449d3a"
"Orion","nzeausbgtmlamlacr001"
"Orion","deaacr"
"PaxHub","ticketsaleloadservice"
"Orion","group045"
"Orion","lgadlmlcr001"
"System.Object[]","System.Object[]"
"Orion","ngroup066amlcr001"
"Orion","nzeauscgdstamlacr001"
"Orion","nzeausdgpgamlacr001"
"AirPortal","opawebapp"
"Orion","orionamlcr001"
"System.Object[]","System.Object[]"
"PltDOTCUI","aaaotpltdotcuidevzeausregistry"
"PltDOTCUI","aotteastuspltdotcuireg"
"PltDOTCUI","aotseastuspltdotcuireg"
"PltDOTCUI","aottwestuspltdotcuireg"
"PltDOTCUI","aotswestuspltdotcuireg"
"InnerSrc","innersourcecr"
"WikiPlat","enterprisewiki"
"System.Object[]","System.Object[]"
"Orion","group024amlcr001"
"Orion","pzeausbgtmlamlacr001"
"Orion","group043amlcr001"
"Orion","pgroup066amlcr001"
"Orion","pzeauscgdstamlacr001"
"Orion","pzeausgroup077amlacr001"
"ORION","pzeausdgpgamlacr001"
"System.Object[]","System.Object[]"
"VrtGiftCrd","aasalesvgcacrdev"
"VrtGiftCrd","aasalesvgcacrstage"
"","corneausraraserdevacr"
"","pcsservices"
"PaxDmdFcst","22a053e8ffd243e9a4c6cbc1ac4475ee"
"FinIntHub","ordermanagementpoc"
"SARS","sarspoc"
"SchdPubs","nppubsdev"
"System.Object[]","System.Object[]"
"RMInfraPtl","corpnzeausrptinfraportalreg"
"NetPlnPrtl","npportaldev"
"PaxFcstSys","crrmordev"
"NetPlnPrtl","npportalstagebeta"
