"ShortName","ACR_Name"
"CabinClean","ccacrprodwestus"
"SPEClient","ctpzeausboardingpassprodaks"
"","ctpzeausmwsprodaks"
"","ctpresagentcr"
"SWAsset","aaflxcstrmnp"
"VulnScan","aacstrmutilsp"
"CabinClean","ccacrnonprodwestus"
"SPEClient","ctnzeausboardingpassnonprodaks"
"ResAgFrwk","ctnresagentcr"
"CustSeats","ctnzeausseatsnonprodaks"
"CustSeats","ctnzeausseatsnonprodakss"
"SNAP","aasnap"
"SNAP","ctnzeaussnapnonprodaks"
"CabinClean","ccacrsandboxeastus"
"FAPortal","aotszweusfaportalreg"
"FAPortal","aottzweusfaportalreg"
"FAUnsucBid","FaCrewschedRegistryStageWest"
"FAUnsucBid","FaCrewschedRegistryTestWest"
"FltStdAuto","aaaotfsatestwestuscr01"
"FltStdAuto","testwestfsacr"
"CrwPrfNtfy","aottzweuspnereg"
"PltTripTrd","aaaottestwestpttsreg"
"PltTripTrd","aapttsstagewestusazureregistry"
"MEFedPltfm","tfpaksnpacr"
"FATrpTrdUI","aotszweusttsreg"
"CrewComp","batchcrdev"
"CrewComp","cc2dev"
"CrewComp","cc2jobdevmk"
"CrewComp","batchCRtest2"
"FAPortal","aotdzeausfaportalreg"
"FAPortal","aotszeausfaportalreg"
"FAPortal","aottzeausfaportalreg"
"FAUnsucBid","FACrewSchedulingRegistryDev"
"FAUnsucBid","FaCrewschedRegistryStageEast"
"FAUnsucBid","FaCrewschedRegistryTest"
"FltStdAuto","aaaotnonprodfsacr"
"FltStdAuto","aaaotfsatestcr"
"OpsHubNext","microgateway"
"CrewCover","aaaotpltccadeveastuscr"
"CrewCover","aaaotpltccastageeastuscr"
"CrewCover","aaaotpltccatesteastuscr"
"CrwPrfNtfy","pneapi"
"PltTripTrd","aaaotdeveastpttsreg"
"PltTripTrd","aaaotdeveastpttsregistry"
"PltTripTrd","aapttseastusazureregistry"
"PltTripTrd","aapttsstageeastusazureregistry"
"PltTripTrd","aaaottest2eastpttsreg"
"MEFedPltfm","federatedPlatformACR"
"FATrpTrdUI","aotdzeausttsreg"
"FATrpTrdUI","aotszeausttsreg"
"FATrpTrdUI","aottzeausttsreg"
"InnerSrc","innersourcecrdev"
"WikiPlat","enterprisewikidev"
"NetPlnPrtl","npportalprod"
"YldMgORApp","corpppyldmgorappcr"
"RMInfraPtl","corppzeausrptinfraportalreg"
"CldGovAuto","notScopesACR"
"CldGovAuto","badovinacacrdemo"
"VulnScan","aacstrmnp"
"VulnScan","aacstrmutilsnp"
"FAPortal","aotpzweusfaportalreg"
"FAUnsucBid","FaCrewschedRegistryProdWest"
"PltDOTCUI","aotpwestuspltdotcuireg"
"PltTripTrd","aapttsprodwestusazureregistry"
"FAPortal","aotpzeausfaportalreg"
"FAUnsucBid","FaCrewschedRegistryProdEast"
"CrewCover","aaaotpltccaprodeastuscr"
"PltDOTCUI","aotpeastuspltdotcuireg"
"PltTripTrd","aapttsprodeastusazureregistry"
"FltStdAuto","aaaotfsaprodcr"
"DevOpsTool","sandboxdevops"
"InFlPorNxt","inflightportal"
"AirPortal","opawebapp"
"Orion","deaacr"
"Orion","orionamlcr001"
"Orion","nzeausbgtmlamlacr001"
"InboundIVR","orionamlws082"
"Orion","nzeauscgdstamlacr001"
"Orion","nzeausdgpgamlacr001"
"Orion","group020amlcr001"
"Orion","nzeaussnpmlamlacr001"
"MEFedPltfm","1539d06b80a74813802b388a81449d3a"
"Orion","group045"
"Orion","ngroup066amlcr001"
"Orion","lgadlmlcr001"
"MathOptSvc","bazeausorafaccadeveastuscr"
"MathOptSvc","bazeausorasimuladeveastuscr"
"PaxHub","ticketsaleloadservice"
"PltDOTCUI","aotswestuspltdotcuireg"
"PltDOTCUI","aottwestuspltdotcuireg"
"PltDOTCRAS","aaaotpltdotcdeveastuscr"
"PltDOTCRAS","acrdotctesteast"
"PltDOTCUI","aaaotpltdotcuidevzeausregistry"
"PltDOTCUI","aotseastuspltdotcuireg"
"PltDOTCUI","aotteastuspltdotcuireg"
"InnerSrc","innersourcecr"
"WikiPlat","enterprisewiki"
"Orion","pzeausbgtmlamlacr001"
"Orion","pzeauscgdstamlacr001"
"ORION","pzeausdgpgamlacr001"
"Orion","2fc96b552715478798f02c0eb2464fbd"
"Orion","pzeausnprvnlamlacr001"
"Orion","pzeaussnpmlamlacr001"
"Orion","group024amlcr001"
"Orion","group043amlcr001"
"Orion","pgroup066amlcr001"
"Orion","pzeausgroup077amlacr001"
"MathOptSvc","bapzeausoraaoptrgregistry"
"MathOptSvc","bazeausorafaccaproeastuscr"
"VrtGiftCrd","aasalesvgcacrdev"
"NetPlnPrtl","npportaldev"
"","pcsservices"
"PaxDmdFcst","22a053e8ffd243e9a4c6cbc1ac4475ee"
"","corneausraraserdevacr"
"VrtGiftCrd","aasalesvgcacrstage"
"SchdPubs","nppubsdev"
"NetPlnPrtl","npportalstagebeta"
"FinIntHub","ordermanagementpoc"
"Mercury","mercuryworkunitacr"
"Mercury","rmmercury"
"PaxFcstSys","crrmordev"
"RMInfraPtl","corpnzeausrptinfraportalreg"
"SARS","sarspoc"
